Company_Name,Skills,location,more_info
APPLYCUPHIRINGSOLUTIONSLLP,"sql,plsql,database,security,sqldeveloper,mysql","Gurgaon,  Delhi,  Delhi/NCR",https://www.timesjobs.com/job-detail/sql-developer-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-3-to-7-yrs-jobid-cl0__SLASH__Bz5eXy5zpSvf__PLUS__uAgZw==&source=srp
RevalsysTechnologies,"svn,triggers,sql,database,security,git,sqldeveloper",Hyderabad/Secunderabad,https://www.timesjobs.com/job-detail/sql-developer-revalsys-technologies-hyderabad-secunderabad-3-to-6-yrs-jobid-Fg56tG12L0JzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"dba,performancetuning,disasterrecovery,recovery,sql,sqldba","Gurgaon,  Delhi,  Delhi/NCR",https://www.timesjobs.com/job-detail/sql-dba-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-3-to-6-yrs-jobid-6WvsTrC__PLUS__hwpzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"postgresql,sqldeveloper,php,teamplayer,jquery,sql",Pune,https://www.timesjobs.com/job-detail/sql-developer-applycup-hiring-solutions-llp-pune-2-to-5-yrs-jobid-__SLASH__H69ogAppE9zpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"informationtechnology,sql,database,sqldeveloper,problemsolving,teamplayer,triggers,writtencommunication,sqlprogramming",Pune,https://www.timesjobs.com/job-detail/sql-developer-applycup-hiring-solutions-llp-pune-2-to-5-yrs-jobid-GuhpiofwDxpzpSvf__PLUS__uAgZw==&source=srp
2SOFTSOLUTIONSPVTLTD,"database,databaseprogramming,sqldeveloper","Mumbai,  Bengaluru / Bangalore",https://www.timesjobs.com/job-detail/sql-developer-2soft-solutions-pvt-ltd-mumbai-bengaluru-bangalore-5-to-8-yrs-jobid-aN2mZ4CQKO1zpSvf__PLUS__uAgZw==&source=srp
JobsLoConsultants,"database,sqlqueries,evaluatedataproblems",Kanpur,https://www.timesjobs.com/job-detail/sql-developer-jobslo-consultants-kanpur-1-to-3-yrs-jobid-C1Kd12dOJddzpSvf__PLUS__uAgZw==&source=srp
MerkleInc.,"sql,database,sqldeveloper,datastructures,solutiondelivery",Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/sql-developer-merkle-inc-bengaluru-bangalore-2-to-5-yrs-jobid-Ta__PLUS__76BNuYtxzpSvf__PLUS__uAgZw==&source=srp
ixiasolutionsllp,"dml,datawarehousing,dbms,sql,databasedevelopment,database,microsoft.net,sqldeveloper,pl/sql,technicalskills,ddl","Navi Mumbai,  Mumbai",https://www.timesjobs.com/job-detail/sql-developer-ixia-solutions-llp-navi-mumbai-mumbai-0-to-3-yrs-jobid-i3LcF8xoT6RzpSvf__PLUS__uAgZw==&source=srp
HyreFoxConsultants,"bi,t-sql,sql,ssrs,sqldeveloper,triggers",Jaipur,https://www.timesjobs.com/job-detail/sql-developer-hyrefox-consultants-jaipur-0-to-3-yrs-jobid-__PLUS__b91bTX__PLUS____PLUS____SLASH__lzpSvf__PLUS__uAgZw==&source=srp
qualityengineeringpvt.ltd.jalgaon,"teradata,teradatasql,procedureandfixingthem",,https://www.timesjobs.com/job-detail/teradata-sql-quality-engineering-pvt-ltd-jalgaon-6-to-9-yrs-jobid-8g__PLUS__W7ek3MW9zpSvf__PLUS__uAgZw==&source=srp
GrihaSoftwareTechnologiesPvtLtd,"c#,sqldevelopment,ssrs,.net,visualbasic",Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/sql-developer-griha-software-technologies-pvt-ltd-bengaluru-bangalore-1-to-3-yrs-jobid-7dJe06KS__PLUS__vpzpSvf__PLUS__uAgZw==&source=srp
Rapturous,"jquery,sql,database,security,xml,sqldeveloper,debugging,vb,triggers,javascript,webtechnologies,.net",Kolkata,https://www.timesjobs.com/job-detail/sql-developer-rapturous-kolkata-2-to-5-yrs-jobid-r4vk8ksyg49zpSvf__PLUS__uAgZw==&source=srp
"EFRIENDTECHNOLOGIES
(MoreJobs)","graphic,Animation,GraphicDesign,photoshop,Dreamweaver,Illustrator,CorelDraw,AdobeIllustrator,AdobePhotoshop,VideoEditor","Indore,  Ratlam,  Ujjain",https://www.timesjobs.com/job-detail/graphics-designer-graphic-designer-senior-graphic-designer-e-friend-technologies-indore-ratlam-ujjain-2-to-6-yrs-jobid-cUm9RYgQTUtzpSvf__PLUS__uAgZw==&source=srp
"IsmailShaikh
(MoreJobs)",GraphicDesigning,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Kolkata,  Mumbai",https://www.timesjobs.com/job-detail/graphic-designer-ismail-shaikh-bengaluru-bangalore-chennai-hyderabad-secunderabad-kolkata-mumbai-10-to-15-yrs-jobid-mbqecVMAGEBzpSvf__PLUS__uAgZw==&source=srp
